N;Ring;Conditions;Year;Initial weight (14.08);Bird weight;Bird weight;Bird weight;Bird weight;Bird weight;Bird weight;Feed consumption;Feed consumption;Feed consumption;Feed consumption;Feed consumption;Feed consumption;Feed consumption;Feed consumption;Feed consumption;Feed consumption;Feed consumption;Feed consumption
;;;;;16.авг;18.авг;20.авг;22.авг;24.авг;26.авг;14.авг;15.авг;16.авг;17.авг;18.авг;19.авг;20.авг;21.авг;22.авг;23.авг;24.авг;25.авг
1;12409;Experiment;2025;24,9;33,8;36,4;37,0;None;None;None;20,0;20,5;21,2;17,7;13,3;12,0;None;None;None;None;None;None
2;12421;Experiment;2025;23,4;32,6;31,5;None;None;None;None;18,6;18,5;21,3;7,7;1,5;None;None;None;None;None;None;None
3;47633;Experiment;2025;23;31,0;32,2;30,6;32,2;31,0;33,1;15,1;18,4;12,4;13,8;11,8;8,2;6,7;8,1;10,2;10,3;10,7;12,2
4;12408;Experiment;2025;27,1;33,6;36,0;37,7;42,0;43,1;45,5;14,4;16,8;18,3;13,7;16,6;21,6;19,5;18,5;16,5;16,7;17,0;15,5
5;13171;Experiment;2024;28,4;30,4;34,8;35,8;36,2;37,1;37,8;11,4;12,4;17,3;18,9;15,4;15,7;11,5;11,0;14,1;11,2;10,8;15,7
6;13173;Experiment;2024;26,6;30,6;32,6;34,7;35,3;33,4;32,0;14,4;15,2;14,9;17,9;15,2;15,6;9,8;10,4;7,9;9,0;6,0;13,2
7;13176;Experiment;2024;27,7;30,0;31,2;33,0;34,1;35,0;34,9;12,4;12,3;13,6;14,2;10,2;16,0;14,3;11,5;15,5;13,4;15,2;17,0
8;12142;Experiment;2024;25,9;28,9;31,7;33,2;34,8;34,8;34,7;12,7;12,5;14,4;16,9;9,8;11,9;9,6;11,1;11,6;12,8;8,5;17,8
9;12383;Control;2025;26,3;30,0;30,5;30,7;34,0;38,0;41,6;10,1;11,9;10,1;10,2;12,4;13,6;15,5;17,2;20,4;20,6;19,6;22,1
10;12399;Control;2025;22,9;24,0;21,5;19,7;None;None;None;5,1;3,0;3,4;4,6;8,0;13,6;None;None;None;None;None;None
11;23198;Control;2025;24,3;28,5;29,4;29,4;31,3;34,2;37,1;11,1;12,0;13,9;11,7;11,8;13,6;12,4;16,5;18,4;20,0;20,2;14,2
12;23197;Control;2025;22,1;29,6;29,2;29,0;28,9;33,5;34,3;12,0;16,0;17,1;7,7;7,3;10,7;11,5;14,4;15,6;18,4;21,2;20,2
13;12104;Control;2024;26,6;28,5;30,9;34,5;36,1;36,5;36,4;7,7;9,0;13,8;13,7;12,6;18,8;16,9;13,3;11,6;10,6;7,8;16,1
14;12135;Control;2024;28,6;31,6;36,2;38,3;39,1;41,0;40,3;17,2;15,0;16,9;19,3;18,3;14,9;13,4;11,4;13,6;13,1;10,5;17,7
15;13177;Control;2024;22,4;25,0;29,3;31,1;31,0;32,2;33,9;8,1;9,4;14,2;15,9;14,7;14,9;11,2;9,1;10,9;9,8;11,0;15,4
16;12157;Control;2024;26,6;30,8;35,0;36,3;37,1;38,6;37,8;13,4;12,9;13,0;19,0;10,1;15,0;8,2;14,0;11,0;12,2;9,0;15,9
